Paper Name	KDD	ACL	NATURE	CVPR	Social Sciences	Natural Sciences	NLP	CV	Web App	Feature Definition	Interaction	Discretize	Join multiple sources	Normalize	Standardize	Hashing	Bag of Words	Impute Missing Values	Matrix Factorization Based (PCA, SVD)	Univariate Feature Selection (via support, mutual information, correlation, etc)	DataPrepOtherCount	DNN: CNN	DNN: LSTM	DNN: other	SVM	GLMs (linear/logistic regression, etc)	Generative models (e.g. HMM, LDA)	Matrix Factorization	Tree-based: Decision Tree	Tree-based: Random Forest	Network Analysis	Ensemble	ModelClassOtherCount	Regularize	Learning Rate(&hyper para)	Win/Batch size	Convergence Criteria	Cross Validation	DNN Architecture Mod.	Kernel Change (in SVM)	Precision/Recall	RMSE (MSE)	Accuracy	Correlation (Pearson, Spearman, etc)	(N)DCG	Feature Importance	Case Study	Visualization	Human Evaluation	MetricOtherCount	# Result tables	# Result Figures
Harnessing Deep Neural Networks with Logic Rules	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	4.0	0.0
Achieving Open Vocabulary Neural Machine Translation with Hybrid Word-Character Models	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	1	0	0	1	1	1	1	2.66666666667	1.66666666667
On-line Active Reward Learning for Policy Optimisation in Spoken Dialogue Systems	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	2.66666666667	2.66666666667
Integrating Distributional Lexical Contrast into Word Embeddings for Antonym–Synonym Distinction	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3.0	1.0
Learning Language Games through Interaction	0	1	0	0	0	0	1	0	0	1	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	1	1	1.33333333333	1.0
A Thorough Examination of the CNN/Daily Mail Reading Comprehension Task	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	1	0	0	1	1	0	0	0	4.33333333333	0.0
Learning Multiview Embeddings of Twitter Users	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	1	0	1	0	0	0	0	0	0	0	3.0	2.33333333333
A Language-Independent Neural Network for Event Detection	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	3.66666666667	0.0
Recognizing Salient Entities in Shopping Queries	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	2.33333333333	2.0
Transition-based dependency parsing with topological fields	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	4.0	1.0
Implicit Polarity and Implicit Aspect Recognition in Opinion Mining	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1.66666666667	1.66666666667
A Domain Adaptation Regularization for Denoising Autoencoders	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2.0	1.0
Incremental Parsing with Minimal Features Using Bi-Directional LSTM	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	4.66666666667	1.0
Semantic classifications for detection of verb metaphors	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	2.0	0.0
Natural Language Inference by Tree-Based Convolution and Heuristic Matching	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	1	2.0	1.0
Weakly Supervised Part-of-speech Tagging Using Eye-tracking Data	0	1	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	3.33333333333	0.0
Deep Neural Networks for Syntactic Parsing of Morphologically Rich Languages	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2.66666666667	0.0
Dependency-based Gated Recursive Neural Network for Chinese Word Segmentation	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	3.0	1.0
Coarse-grained Argumentation Features for Scoring Persuasive Essays	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	4.66666666667	0.0
Deep Crossing: Web-Scale Modeling without Manually Crafted Combinatorial Features	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	2.66666666667	1.66666666667
Predicting Disk Replacement towards Reliable Data Centers	1	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	1	1	0	0	1	1	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	4.0	3.33333333333
Email Volume Optimization at LinkedIn	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	2.66666666667	1.0
An Empirical Study on Recommendation with Multiple Types of Feedback	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	2.0	4.66666666667
Continuous Experience-aware Language Model	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	1	0	0	0	2.33333333333	5.0
How to Get Them a Dream Job?	1	0	0	0	0	0	0	0	1	1	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	1.66666666667	2.66666666667
Contextual Intent Tracking for Personal Assistants	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	2.0	3.0
Ranking Relevance in Yahoo Search	1	0	0	0	0	0	0	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	8.0	0.0
Collaborative Knowledge Base Embedding for Recommender Systems	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0.0	5.0
CaSMoS: A Framework for Learning Candidate Selection Models over Structured Queries and Documents	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	1	1.0	5.33333333333
When Recommendation Goes Wrong - Anomalous Link Discovery in Recommendation Networks	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	1	0	1	0	0	0	1	0	1	0	4.33333333333	0.0
Fast Detection of Curved Edges at Low SNR	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	1.0	2.33333333333
Face Alignment Across Large Poses: A 3D Solution	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	1	2.0	5.0
Learning Dense Correspondence via 3D-guided Cycle Consistency	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	2.0	2.66666666667
Learning to Assign Orientations to Feature Points	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	1	0	1	0	0	0	0	1	0	1	1.0	4.66666666667
Stacked Attention Networks for Image Question Answering Zichao	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	1	0	1	6.0	1.33333333333
Latent Embeddings for Zero-shot Classification	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	4.33333333333	2.0
The Global Patch Collider	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	1	0	5.0	4.66666666667
Anticipating Visual Representations from Unlabeled Video	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	1	1	0	0	2.33333333333	3.33333333333
Learning Deep Representations of Fine-Grained Visual Descriptions	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	1	0	0	0	0	1	0	0	3.0	2.66666666667
