Paper Name	KDD	ACL	NATURE	CVPR	Social Sciences	Natural Sciences	NLP	CV	Web App	Feature Definition	Interaction	Discretize	Join multiple sources	Normalize	Standardize	Hashing	Bag of Words	Impute Missing Values	Matrix Factorization Based (PCA, SVD)	Univariate Feature Selection (via support, mutual information, correlation, etc)	DataPrepOtherCount	DNN: CNN	DNN: LSTM	DNN: other	SVM	GLMs (linear/logistic regression, etc)	Generative models (e.g. HMM, LDA)	Matrix Factorization	Tree-based: Decision Tree	Tree-based: Random Forest	Network Analysis	Ensemble	ModelClassOtherCount	Regularize	Learning Rate(&hyper para)	Win/Batch size	Convergence Criteria	Cross Validation	DNN Architecture Mod.	Kernel Change (in SVM)	Precision/Recall	RMSE (MSE)	Accuracy	Correlation (Pearson, Spearman, etc)	(N)DCG	Feature Importance	Case Study	Visualization	Human Evaluation	MetricOtherCount	# Result tables	# Result Figures
Audience Expansion for Online Social Network Advertising	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.25	2.0	0.0	0.0	1.0	1.0	3.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	6.0	6.0	8.0
From Online Behaviors to Offline Retailing	3.0	0.0	0.0	0.0	0.125	0.0	0.0	0.0	2.125	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	2.0	1.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	1.0	3.0	6.0
Talent Circle Detection in Job Transition Networks	3.0	0.0	0.0	0.0	0.125	0.0	0.0	0.0	2.125	1.0	1.0	2.0	2.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	2.0	0.0	2.0	1.0	0.0	1.0	3.0	11.0
A Non-parametric Approach to Detect Epileptogenic Lesions using Restricted Boltzmann Machines	3.0	0.0	0.0	0.0	0.125	2.125	0.0	0.25	0.0	3.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	3.0	4.0
DopeLearning: A Computational Approach to Rap Lyrics Generation	3.0	0.0	0.0	0.0	2.125	0.0	0.125	0.0	0.0	3.0	1.0	1.0	0.0	3.0	0.0	1.0	3.0	0.0	1.0	1.0	0.0	0.0	0.0	3.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	1.0	2.0	1.0	0.0	2.0	0.0	2.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	2.0	0.0	3.0	3.0
Convolutional Neural Networks for Steady Flow Approximation	3.0	0.0	0.0	0.0	0.0	2.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	1.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	1.0	2.0	0.0	1.0	13.0	4.0
Detecting Devastating Diseases in Search Logs	3.0	0.0	0.0	0.0	0.125	2.0	0.125	0.0	0.0	3.0	1.0	3.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	2.0	1.0	0.0	2.0	1.0	0.0	0.0	0.0	15.0	3.0
Compute Job Memory Recommender System Using Machine Learning	3.0	0.0	0.0	0.0	0.125	0.0	0.0	0.0	2.0	3.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	3.0	0.0	0.0	3.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	9.0	19.0
Reverse engineering highlights potential principles of large gene regulatory network design and learning	0.0	0.0	3.0	0.0	0.0	2.25	0.0	0.0	0.0	2.0	1.0	1.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	3.0	3.0	2.0	1.0	0.0	2.0	2.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	19.0
Prediction of N-Methyl-D-Aspartate Receptor GluN1-Ligand Binding Affinity by a Novel SVM-Pose/SVM-Score Combinatorial Ensemble Docking Scheme	0.0	0.0	3.0	0.0	0.0	2.25	0.0	0.0	0.0	2.0	1.0	1.0	0.0	2.0	0.0	0.0	0.0	0.0	1.0	2.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	2.0	0.0	0.0	1.0	0.0	0.0	0.0	6.0	25.0
Hyperspectral Imaging for Presymptomatic Detection of Tobacco Disease with Successive Projections Algorithm and Machine-learning Classifiers	0.0	0.0	3.0	0.0	0.0	2.25	0.0	0.125	0.0	3.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	3.0	3.0	2.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	7.0
Constructing and Validating High-Performance MIEC-SVM Models in Virtual Screening for Kinases: A Better Way for Actives Discovery	0.0	0.0	3.0	0.0	0.0	2.25	0.0	0.0	0.0	2.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	2.0	0.0	0.0	0.0	0.0	3.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	2.0	0.0	0.0	2.0	0.0	0.0	1.0	0.0	0.0	0.0	5.0	9.0
An improved method for identification of small non-coding RNAs in bacteria using support vector machine	0.0	0.0	3.0	0.0	0.0	2.25	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	3.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	2.0	1.0	2.0	2.0	0.0	2.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	18.0	0.0
Organic carbon prediction in soil cores using VNIR and MIR techniques in an alpine landscape	0.0	0.0	3.0	0.0	0.0	2.25	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	3.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	2.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	6.0	10.0
Detection of Fungus Infection on Petals of Rapeseed (Brassica napus L.) Using NIR Hyperspectral Imaging	0.0	0.0	3.0	0.0	0.0	2.25	0.0	0.125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	2.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	5.0	4.0
Texture analysis in gel electrophoresis images using an integrative kernel-based approach	0.0	0.0	3.0	0.0	0.0	2.25	0.0	0.0	0.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	2.0	1.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	2.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	5.0	19.0
Recognition of Mould Colony on Unhulled Paddy Based on Computer Vision using Conventional Machine-learning and Deep Learning Techniques	0.0	0.0	3.0	0.0	0.0	2.125	0.0	0.25	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	3.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	0.0	0.0	1.0	2.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	10.0	3.0
Efficient probabilistic inference in generic neural networks trained with non-probabilistic feedback	0.0	0.0	3.0	0.0	0.0	2.125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	1.0	0.0	0.0	2.0	0.0	0.0	2.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.0
Discovering the building blocks of atomic systems using machine learning: application to grain boundaries	0.0	0.0	3.0	0.0	0.0	2.25	0.0	0.0	0.0	2.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	1.0	1.0	0.0	3.0	9.0
Discovery of novel therapeutic properties of drugs from transcriptional responses based on multi-label classification	0.0	0.0	3.0	0.0	0.0	2.25	0.0	0.0	0.0	1.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	3.0	0.0	0.0	3.0	1.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	2.0	1.0	0.0	0.0	2.0	2.0	1.0	1.0	0.0	1.0	2.0	0.0	0.0	2.0	1.0	0.0	0.0	0.0	6.0
Discrimination of plant root zone water status in greenhouse production based on phenotyping and machine learning techniques	0.0	0.0	3.0	0.0	0.0	2.25	0.0	0.0	0.0	1.0	0.0	1.0	0.0	2.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	3.0	3.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	2.0	0.0	1.0	2.0	0.0	2.0	0.0	0.0	2.0	1.0	0.0	0.0	0.0	10.0	10.0
Network-based machine learning and graph theory algorithms for precision oncology	0.0	0.0	3.0	0.0	0.0	2.25	0.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	2.0	2.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	2.0	0.0	0.0	0.0	6.0
SpotOn: High Accuracy Identification of Protein-Protein Interface Hot-Spots	0.0	0.0	3.0	0.0	0.0	2.25	0.0	0.0	0.0	2.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	3.0	1.0	0.0	0.0	0.0	2.0	3.0	3.0	2.0	0.0	3.0	3.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	2.0	2.0	0.0	2.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	9.0	3.0
Accurate prediction of X-ray pulse properties from a free-electron laser using machine learning	0.0	0.0	3.0	0.0	0.0	2.25	0.0	0.0	0.0	2.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	3.0	2.0	0.0	0.0	0.0	3.0	2.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	3.0	12.0
Knowledge-transfer learning for prediction of matrix metalloprotease substrate- cleavage sites	0.0	0.0	3.0	0.0	0.0	2.25	0.0	0.0	0.0	2.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	2.0	0.0	1.0	1.0	0.0	2.0	0.0	0.0	1.0	2.0	1.0	0.0	0.0	4.0	12.0
Performance of machine-learning scoring functions in structure-based virtual screening	0.0	0.0	3.0	0.0	0.0	2.125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	3.0	0.0	12.0
Machine learning applications for prediction of relapse in childhood acute lymphoblastic leukemia	0.0	0.0	3.0	0.0	0.0	2.25	0.0	0.0	0.0	2.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	3.0	3.0	0.0	0.0	3.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	1.0	1.0	0.0	2.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	6.0	6.0
A Machine Learning Approach Using Survival Statistics to Predict Graft Survival in Kidney Transplant Recipients: A Multicenter Cohort Study	0.0	0.0	3.0	0.0	0.0	2.25	0.0	0.0	0.0	2.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	3.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	3.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	2.0	1.0	0.0	0.0	14.0	5.0
Images Don't Lie: Transferring Deep Visual Semantic Features to Large-Scale Multimodal Learning to Rank	3.0	0.0	0.0	0.0	0.0	0.0	0.0	2.25	0.125	1.0	0.0	0.0	1.0	1.0	0.0	1.0	2.0	0.0	0.0	0.0	0.0	2.0	0.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	1.0	2.0	0.0	0.0	3.0	2.0
Domain Adaptation in the Absence of Source Domain Data	3.0	0.0	0.0	0.0	0.0	0.0	0.125	2.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	3.0	3.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	0.0
Question Independent Grading using Machine Learning: The Case of Computer Program Grading	3.0	0.0	0.0	0.0	0.125	0.0	2.125	0.0	0.0	2.0	1.0	1.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	3.0	3.0	0.0	0.0	1.0	2.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	2.0	0.0	2.0	0.0	0.0	1.0	2.0	0.0	0.0	1.0	0.0	0.0	2.0	6.0	3.0
Dynamic Clustering of Streaming Short Documents	3.0	0.0	0.0	0.0	0.0	0.0	2.25	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	3.0	18.0
Text Mining in Clinical Domain: Dealing with Noise	3.0	0.0	0.0	0.0	0.0	0.0	2.25	0.0	0.0	3.0	0.0	0.0	0.0	3.0	3.0	0.0	3.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	3.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	5.0
Scalable Fast Rank-1 Dictionary Learning for fMRI Big Data Analysis	3.0	0.0	0.0	0.0	0.0	0.0	0.0	2.25	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	3.0	9.0	16.0
EMBERS AutoGSR: Automated Coding of Civil Unrest Events	3.0	0.0	0.0	0.0	0.125	0.0	2.25	0.0	0.0	2.0	0.0	0.0	2.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	2.0	14.0	9.0
